Comment,clean_comment,word_count,sentiment_score,sentiment_label
"Buat kawan-kawan yang masih agak bingung atau asingdengan beberapa istilah yang dipakai di video ini, mungkin komentar ini bisa sedikit membantu:

1. Artificial  Intelligent
Sesuai artinya, artificial=buatan, intelligent=buatan, jadi sebuah algoritma yang dibuat manusia yang mampu berfikir layaknya manusia.

2. Algoritma
Sekumpulan instruksi atau perintah-perintah yang ditulis secara khusus dan sistematis untuk tujuan tertentu (bisanya dalam bentuk kode dalam sebuah bahasa pemrogaman)

3. Machine Learning
Sebuah algortima yang dibuat sehingga sebuah ""mesin"" dapat belajar, baik secara supervised, rainforced atau unsupervised. Machine Learning sendiri merupakan salah satu dari cabang AI

4. Unsupervised Machine Learning
Dalam hal cara mesin belajar, ada 3 cara, supervised (diajari), reinforced (trial and error) atau unsupervised (tidak diajari). Dalam kasus ini ChatGPT masuk kedalam jenis unsupervised machine learning. Artinya, dia bisa menjadi jauh lebih pintar tanpa perlu campur tangan manusia. Tapi tentu dia memiliki batasannya, karna algoritma yang dibuat sudah terkhusus kepada jenis text, bukan yang lain. Dan sebuah ML akan jauh lebih efektif jika tugas yang diberikan spesifik.",buat kawan kawan masih bingung asingdengan beberapa istilah pakai video mungkin komentar sedikit bantu artificial intelligent sesuai arti artificial buat intelligent buat algoritma buat manusia mampu berfikir layak manusia algoritma kumpul instruksi perintah perintah tulis khusus sistematis tuju tentu bisa bentuk kode bahasa pemrogaman machine learning algortima buat mesin ajar baik supervised rainforced unsupervised machine learning sendiri rupa salah satu cabang artificial intelligence unsupervised machine learning hal cara mesin ajar cara supervised ajar reinforced trial and error unsupervised ajar kasus chatgpt masuk dalam jenis unsupervised machine learning arti jadi jauh lebih pintar campur tangan manusia tentu milik batas karna algoritma buat khusus jenis text lain machine learning jauh lebih efektif tugas beri spesifik,113,1,Positif
terimakasih penjelasannya. sangat membantu,terimakasih jelas sangat bantu,4,2,Positif
"Saya sangat suka komentar komentar di sini. tidak ada yang ""menggoblokan"" komentar orang lain. Bersedia di koreksi jika ada informasi yang kurang pas. Saling membangun, Saling respect, dan bersedia membuka kemngkinan salah. Good Vibes!",sangat suka komentar komentar sini goblok komentar orang sedia koreksi informasi kurang pas saling bangun saling respect sedia buka kemngkinan salah good vibes,23,0,Netral
"Aku baru saja tanya kepada ChatGPT. Tak usah khawatir. ChatGPT itu dikategori pertama. 

ChatGPT termasuk model AI jenis apa? ",baru tanya chatgpt usah khawatir chatgpt kategori pertama chatgpt masuk model artificial intelligence jenis,14,-1,Negatif
"KOMENTAR PAKAI CHATGPT:
I. Artificial Intelligence (AI)



AI adalah teknologi komputer yang dapat meniru kemampuan manusia, seperti berpikir, belajar, dan memecahkan masalah.",komentar pakai chatgpt i artificial intelligence artificial intelligence artificial intelligence teknologi komputer tiru mampu manusia pikir ajar pecah masalah,19,0,Netral
"Understandable if you could generate definitions of a subject in real time now that you're connected with AI the so called ""ChatGpt.""",understandable if you could generate definitions of a subject in real time now that you re connected with artificial intelligence the so called chatgpt,24,0,Netral
 @IndrawanNugroho  woi  Elon mas sudah keluar open ai pas 2018,woi elon keluar open artificial intelligence pas,7,0,Netral
"Benar sekali, beberapa tahun kedepan dengan kombinasi Metaverse+Blockchain+AI kita akan melihat model pembelajaran yang baru, yang sangat berbeda dengan zaman sekarang. ""Dunia nyata"" kita maybe akan berpindah tempat, berpindah menuju dunia tanpa batas dan dunia kita sekarang akan menjadi ""offline"" world. Mungkin ini terlihat berlebihan, tapi ini nyata terjadi dan semakin dekat.. karena pekerjaan saya sekarang sedang mengembangkan sektor tersebut ",benar sekali beberapa tahun depan kombinasi metaverse blockchain artificial intelligence lihat model ajar baru sangat beda zaman sekarang dunia nyata maybe pindah tempat pindah tuju dunia batas dunia sekarang jadi offline world mungkin lihat lebih nyata jadi makin dekat kerja sekarang kembang sektor,43,0,Netral
Saya tertarik dengan pendapat dosen computer science saya tentang hal ini,tarik dapat dosen computer science,5,0,Netral
 @imamupayanto  tidak mungkin secara cepat terjadi. Perkembangan teknologi tidak beriringan dengan pertumbuhan ekonomi akan menyebabkan ketimpangan kelas sosial yang luar biasa.,mungkin cepat jadi kembang teknologi iring tumbuh ekonomi sebab timpang kelas sosial luar biasa,14,1,Positif
